Date,Open,High,Low,Close,Adj Close,Volume
2008-11-14,0.734,0.734,0.734,0.734,0.734,0.0
2008-11-17,0.706,0.706,0.706,0.706,0.706,0.0
2008-11-18,0.696,0.696,0.696,0.696,0.696,0.0
2008-11-19,0.696,0.696,0.696,0.696,0.696,0.0
2008-11-20,0.696,0.696,0.696,0.696,0.696,0.0
2008-11-21,0.696,0.696,0.696,0.696,0.696,0.0
2008-11-24,0.719,0.719,0.719,0.719,0.719,0.0
2008-11-25,0.74,0.74,0.74,0.74,0.74,0.0
2008-11-26,0.696,0.696,0.696,0.696,0.696,0.0
2008-11-27,0.735,0.735,0.735,0.735,0.735,0.0
2008-11-28,0.711,0.711,0.711,0.711,0.711,0.0
2008-12-01,0.706,0.706,0.706,0.706,0.706,0.0
2008-12-02,0.7,0.7,0.7,0.7,0.7,0.0
2008-12-03,0.715,0.715,0.715,0.715,0.715,0.0
2008-12-04,0.688,0.688,0.688,0.688,0.688,0.0
2008-12-05,0.688,0.688,0.688,0.688,0.688,0.0
2008-12-08,0.676,0.676,0.676,0.676,0.676,0.0
2008-12-09,0.676,0.676,0.676,0.676,0.676,0.0
2008-12-10,0.706,0.706,0.706,0.706,0.706,0.0
2008-12-11,0.696,0.696,0.696,0.696,0.696,0.0
2008-12-12,0.686,0.686,0.686,0.686,0.686,0.0
2008-12-15,0.676,0.676,0.676,0.676,0.676,0.0
2008-12-16,0.686,0.686,0.686,0.686,0.686,0.0
2008-12-17,0.676,0.676,0.676,0.676,0.676,0.0
2008-12-18,0.67,0.67,0.67,0.67,0.67,0.0
2008-12-19,0.676,0.676,0.676,0.676,0.676,0.0
2008-12-22,0.686,0.686,0.686,0.686,0.686,0.0
2008-12-29,0.65,0.65,0.65,0.65,0.65,0.0
2009-01-02,0.686,0.686,0.686,0.686,0.686,0.0
2009-01-05,0.725,0.725,0.725,0.725,0.725,0.0
2009-01-06,0.72,0.72,0.72,0.72,0.72,0.0
2009-01-07,0.784,0.784,0.784,0.784,0.784,0.0
2009-01-08,0.787,0.787,0.787,0.787,0.787,0.0
2009-01-09,0.794,0.794,0.794,0.794,0.794,0.0
2009-01-12,0.794,0.794,0.794,0.794,0.794,0.0
2009-01-13,0.784,0.784,0.784,0.784,0.784,0.0
2009-01-14,0.761,0.761,0.761,0.761,0.761,0.0
2009-01-15,0.804,0.804,0.804,0.804,0.804,0.0
2009-01-16,0.781,0.781,0.781,0.781,0.781,0.0
2009-01-19,0.779,0.779,0.779,0.779,0.779,0.0
2009-01-20,0.784,0.784,0.784,0.784,0.784,0.0
2009-01-21,0.786,0.786,0.786,0.786,0.786,0.0
2009-01-22,0.784,0.784,0.784,0.784,0.784,0.0
2009-01-23,0.794,0.794,0.794,0.794,0.794,0.0
2009-01-26,0.779,0.779,0.779,0.779,0.779,0.0
2009-01-27,0.771,0.771,0.771,0.771,0.771,0.0
2009-01-28,0.818,0.818,0.818,0.818,0.818,0.0
2009-01-29,0.8,0.8,0.8,0.8,0.8,0.0
2009-01-30,0.8,0.8,0.8,0.8,0.8,0.0
2009-02-02,0.827,0.827,0.827,0.827,0.827,0.0
2009-02-03,0.806,0.806,0.806,0.806,0.806,0.0
2009-02-04,0.809,0.809,0.809,0.809,0.809,0.0
2009-02-05,0.882,0.882,0.882,0.882,0.882,0.0
2009-02-06,0.882,0.882,0.882,0.882,0.882,0.0
2009-02-09,0.882,0.882,0.882,0.882,0.882,0.0
2009-02-10,0.898,0.898,0.898,0.898,0.898,0.0
2009-02-11,0.882,0.882,0.882,0.882,0.882,0.0
2009-02-12,0.894,0.894,0.894,0.894,0.894,0.0
2009-02-13,0.892,0.892,0.892,0.892,0.892,0.0
2009-02-16,0.889,0.889,0.889,0.889,0.889,0.0
2009-02-17,0.882,0.882,0.882,0.882,0.882,0.0
2009-02-18,0.882,0.882,0.882,0.882,0.882,0.0
2009-02-19,0.882,0.882,0.882,0.882,0.882,0.0
2009-02-20,0.882,0.882,0.882,0.882,0.882,0.0
